iter	Passed	Remaining
0	136	273000
1	274	273767
2	413	274996
3	545	272135
4	685	273540
5	819	272305
6	959	273236
7	1096	273132
8	1230	272305
9	1371	272907
10	1540	278476
11	1672	277157
12	1813	277128
13	1948	276406
14	2083	275715
15	2219	275274
16	2354	274644
17	2492	274482
18	2632	274441
19	2767	273954
20	2904	273693
21	3040	273329
22	3174	272842
23	3311	272685
24	3444	272140
25	3583	272058
26	3719	271781
27	3855	271542
28	3991	271309
29	4124	270851
30	4260	270590
31	4397	270425
32	4534	270261
33	4672	270156
34	4808	269970
35	4944	269764
36	5083	269722
37	5216	269330
38	5351	269078
39	5510	269994
40	5636	269318
41	5774	269192
42	5912	269076
43	6052	269052
44	6187	268830
45	6326	268732
46	6468	268791
47	6604	268582
48	6742	268472
49	6877	268204
50	7015	268115
51	7148	267797
52	7287	267704
53	7426	267611
54	7564	267516
55	7701	267351
56	7839	267226
57	7997	267776
58	8134	267623
59	8268	267348
60	8409	267315
61	8547	267183
62	8690	267191
63	8827	267031
64	8962	266793
65	9098	266626
66	9235	266440
67	9367	266159
68	9504	265990
69	9645	265944
70	9782	265779
71	9918	265598
72	10056	265474
73	10193	265314
74	10332	265198
75	10464	264922
76	10604	264832
77	10741	264691
78	10877	264503
79	11015	264364
80	11153	264234
81	11287	264009
82	11423	263852
83	11557	263628
84	11695	263488
85	11837	263459
86	11972	263264
87	12105	263011
88	12241	262857
89	12380	262737
90	12517	262583
91	12650	262368
92	12789	262256
93	12924	262062
94	13059	261883
95	13202	261859
96	13339	261701
97	13476	261549
98	13613	261403
99	13742	261104
100	13877	260931
101	14016	260814
102	14149	260590
103	14285	260442
104	14442	260657
105	14578	260484
106	14714	260319
107	14850	260164
108	14980	259896
109	15118	259766
110	15271	259885
111	15411	259792
112	15549	259657
113	15682	259443
114	15822	259353
115	15947	259002
116	16080	258800
117	16217	258658
118	16350	258451
119	16489	258329
120	16630	258258
121	16755	257919
122	16892	257787
123	17028	257620
124	17167	257506
125	17307	257413
126	17443	257252
127	17580	257116
128	17718	256980
129	17865	256991
130	18004	256873
131	18141	256727
132	18280	256608
133	18417	256473
134	18552	256305
135	18705	256371
136	18840	256207
137	18973	256009
138	19101	255739
139	19237	255586
140	19374	255447
141	19515	255356
142	19652	255209
143	19784	255002
144	19922	254867
145	20054	254659
146	20190	254513
147	20326	254361
148	20459	254159
149	20592	253978
150	20726	253794
151	20877	253825
152	21013	253677
153	21147	253492
154	21289	253415
155	21427	253287
156	21562	253113
157	21683	252786
158	21814	252584
159	21952	252454
160	22092	252343
161	22226	252174
162	22363	252030
163	22499	251888
164	22636	251744
165	22772	251591
166	22905	251408
167	23046	251316
168	23182	251163
169	23309	250924
170	23441	250728
171	23576	250566
172	23714	250444
173	23850	250291
174	23982	250103
175	24119	249961
176	24257	249836
177	24392	249678
178	24529	249547
179	24660	249341
180	24792	249158
